,text,label,llama_3_70b_zero_shot,llama_3_70b_zero_shot_alternative_prompt
6019,I had the privilege of seeing this powerful play on Broadway with Kathy Bates in the lead. I only saw one other play in the 1970's-1990's that had an emotional impact like this play did. I really looked forward to the play being made into a movie but was very disappointed when I learned that Kathy Bates wouldn't reprise her role in the film--she wasn't well known off Broadway at the time and the producers must have wanted star power I suppose and cast Sissy Spacek instead. Sissy did an adequate job in the lead role but did not measure up to Kathy Bates in any way. I love Anne Bancroft but she seemed too young for this role. The movie plot was true to the play. Anyone who ever contemplates suicide should have to watch this movie to realize the devastation on those who are left behind.,Negative,Positive,Negative
6020,"************* SPOILERS BELOW ************* ""'Night, Mother"" is the story of Jesse (Sissy Spacek), a divorced epileptic woman who calmly announces to her brash mother (Anne Bancroft) that she's going to commit suicide. This is a fascinating premise that is drained of all vitality and excitement. The brilliant hook turns out to be a cheat- the story that follows is lacking in substance, gravity and revelatory value. Where are the shocks and surprises as mother and daughter have what may be the last conversation of their lives? Where are the secrets revealed, the confessions and fantasies and regrets? They're here, but they've all been painted the same dull color that keeps emotion in the background and celebrates the 'genius' of playwright Marsha Norman at the expense of everything else. The result is not a film but an exhausting endurance test.<br /><br />Let me preface my comments by saying I find Sissy Spacek to be one of the greatest actresses in the history of motion pictures, a woman so magnetic, so natural that she continues to surprise and amaze me after twenty years of stardom. She brings a touch of class and magic to everything she does, and I've seen her rescue more than one film from the recycling bin with her angelic face and vulnerable eyes, her soft voice and sweet smile. It was because of the great Spacek that I watched this film in the first place, and for one of her movies to be terrible it has to fail in a significant way. This film fails in two.<br /><br />First and foremost the film is adapted so faithfully from the Pulitzer-winning stage play that it is claustrophobic and repetitive. The entire movie is a two-woman dialogue between Jesse and her Mother. What worked on stage- a middle-aged mother and daughter argue for two hours in small house- dies on film. A play, no matter how great, needs to be *adapted* for the screen it is self-indulgent and arrogant to believe that the dialogue is so perfect that not of a word of it can be altered. The screenplay for this film could have been shortened by thirty to forty pages, and a knowing screenwriter would have given the brilliant Spacek and competent Bancroft some *physical* sequences, some facial reactions, something to break up the wall-to-wall yak fest and prison-like single-set. It is no wonder that the screenplay was adapted by the original playwright Marsha Norman, who may know theater but reveals herself here to be clueless in film.<br /><br />I cannot over-emphasize the effect the stage-play script has on the film. Watching Jesse and her Mother argue about Jesse's impending suicide is redundant and dull. The women walk from the living room into the kitchen into the den and back into the living room, where they start all over again. A tiny Midwestern house is not the ideal location for a single-set film, and the director never tries anything clever or original, never tries to break up the monotony with an exterior shot or cutaway or a flashback or *anything*. There's no music, no other characters, no other stories... just two women covering the couch cushions and arguing their opinions. The reverence given to the play is sickening even Shakespeare's most solemn classics get shaken up for the screen. The commitment to the original play seems almost spiteful it's as if the film was made only to document the dramatic treasure that was the stage play, with the audience an afterthought.<br /><br />The other reason the film fails is Anne Bancroft. She may be a good stage actress but on film- where presence is 80% of performance- she rarely seems to fit. She certainly doesn't fit here, playing a Midwestern grandmother but looking more like Mrs. Robinson before her morning coffee. She chases Jesse around the house, looking more aggravated than astounded, and seems extraordinarily unsympathetic, even when her lines convey a loving- if flawed- woman.<br /><br />Sissy Spacek is great as she always is, honest and open and so good that you actually understand and agree with her character's choice. Sissy lets us see that Jesse is a flat tire, a wrong turn of a woman who has had every bad break and made too many wrong choices. She's never had control of her life, and her suicide will be her way of finally saying ""No more- this is where I get off."" That's how she puts it anyway, and when Spacek speaks you listen. She proves in all her films that a good actress doesn't have to behave like a man, doesn't have to be all bluff and bravado and borrowed testosterone. In this and in films like ""Coal Miner's Daughter"" she quietly demonstrates a soft strength and quiet depth that is as impressive as it is hypnotic you can't help but fall in love.<br /><br />That's why it was so hard for me to watch ""'Night, Mother."" Spacek is wasted in a stilted stunt of a film that never serves to engage or even distract. I would not recommend this movie to anyone except die-hard fans of Sissy like myself and even then you'll be disappointed. I do give the film an entire letter grade bonus for the ending, which is courageous enough to let the lead character do what's right for *her* and not pander to a hackneyed happy ending. GRADE: C",Negative,negative,negative
6021,"This film is likely to be a real letdown unless you understand the circumstances under which it was made. The Marxes were chosen to be cast in the film version of a play that was not originally written for them. They are sort of force-fitted into the roles. Ironically it might have been funnier if it had used different actors who did not have such high expectations placed upon them. Instead, it has been forever enshrined as part of a canon to which it really doesn't deserve to belong.",Negative,Negative,negative
6022,"Picking this up along with the rest of the Marx Brothers box set, I found myself disappointed by most everything beyond A Night at the Opera. This stinker is prolly the worst I've seen of them so far, with the clever lines left out and the characterization is woeful. The playwright is so obscenely stupid in this play it's hard not to tackle the television and try and strangle him.<br /><br />As it is, the Marxes seem to do better as outsiders brought in to wreak havoc, and are much much better when they have a good gag or two at least. The material here is all obviously written for anyone, and it really wastes the Marx's talent. Avoid. <br /><br />Rating: 3/10",Negative,Negative,negative
6023,"Jumpin' Butterballs, this movie stinks! It's a dull and listless drag that never lets up. It's a wonder anyone even bothered to make Groucho up in his bizarre trademark eyebrows and mustache, as he has nothing witty or outrageous to do or say throughout this bore. Chico must have been so disinterested that he forgot to use his Italian accent.<br /><br />Only Harpo provides a grin or two, and there's precious little of that to go around here anyway. Figure in a loudmouthed hotel manager and another obnoxious co-comic in Frank Albertson, and the road gets even bumpier. <br /><br />A real misfire.",Negative,Negative,negative
6024,"Army private Gene Kelly, who's also a talented trapeze aerialist, comes under fire for doing daring stunts without a net and alienating his high-wire cohorts; meanwhile, there's an elaborate 'camp show' to put on for Army soldiers and personnel, and the whole studio of M-G-M has shown up to join in the fun. Mickey Rooney plays M.C. (unctuously), introducing acts like Kay Kyser and His Orchestra, Bob Crosby, Benny Carter, and the M-G-M Dancing Girls (who appear to be dressed as vegetables). Red Skelton does a cute bit with Donna Reed and Margaret O'Brien, but the other comedic bits suffer from an apparent vacuum between the performers and the allegedly-live audience (they're awfully silent until the editor cuts to them for exaggerated reaction shots). Judy Garland sings an inappropriate song about a jumpin' night at Carnegie Hall (improbably accompanied by classical pianist José Iturbi, whom Judy calls 'hep'). The production is glossy, but the manic energy feels false, fabricated. ** from ****",Negative,Negative,Negative
6025,"I spotted the DVD on a store near my home, and since I'm a ""cheesy horror movie/alien flicks"" addict, I wondered how good it was. It even had two award mentions on the cover (I don't remember what festival it won) so I figured ""Hey this might be good"". So I bought it (for five euros) and I came here to IMDb to check out some reviews. Here, either people bashed the movie to say it was bad, or people said the movie was a wonderful feat in indie movies bla, bla. I then played the DVD, not thinking about any review I had read, with an open mind, and not expecting anything at all.<br /><br />Man... I don't' like being this critical, but the movie was genuinely bad... OK, I'm just going to give out some pointers of what I thought:<br /><br />1-Acting/dialog: The acting was so confusing... sometimes the actors did a decent job, but there were scenes were I could spot no effort at all from them! The dialog was even worst... I think it was probably the aspect I most disliked in the whole movie. The talking in between characters seemed... off. Not just bad, but far away from the actual happenings in the movie. The monologues of the female character, although well delivered, became boring and annoying in a little while... But of course the most ridiculous aspect was the... ""aliens"" or the ""infected""... I wont even comment on that one, just going to say that it was absolutely ridiculous and took the entire mood away from the picture; 2-Visuals: the strongest aspect in the movie... if you forget the awful FX and light flashes they used to simulate explosions or what the hell they were supposed to be. The ""camera in car"" aspect was quite cool actually, but they didn't even used the environment to inspire fear or dread. They left that to cheap sound and video FX and the three ""infected"" characters. The movie becomes boring in so many scenes...; 3-Sound: Talk about editing... this movie has no problems in showing how weakly edited it was. From computer sounds imitating the forest animals to the ""alien dialog""... ah...<br /><br />So what did I like in the movie... (SPOILERS) the only thing I really liked and it was actually quite scary was the succession of two scenes where the car is still and you spot something/someone walking in a distant. At first I really thought it was me seeing things, but when the character realizes that the ""figures"" coming towards her were her own reflection, I was surprised! Pretty creepy idea done well! Apart from that... I had an awful time.<br /><br />And I don't recommend this to anyone... not even ""teen get together"" because you can't even laugh at this...<br /><br />I give it a solid 2. Only some technical achievements worked here... apart from that... yeah... nothing",Negative,Negative,negative
6026,"Okay, first I should say that I assume this was just made by a group of friends with a limited budget. With that in mind, it really shouldn't be compared to blockbuster features and my rating would be higher. But still...<br /><br />After giving it a chance, it still violated some basic film-making rules to such an extent that both the viewer and the amateur director in me cringed. A LOT.<br /><br />Think: Blair Witch in a car but REALLY boring.<br /><br />Think: You left your camcorder on the dashboard and recorded yourself getting lost in the park at night for an hour, then making your friends watch it.<br /><br />The scariest part (POSSIBLE SPOILER ALERT... IF SPOILING HERE IS POSSIBLE) was at one point the picture rewinds and you might think you will have to watch it all over again. SCARY.<br /><br />Silliness aside, this is a pretty good idea for a low-budget lets-go-make-a-movie-tonight film. But the concept walks a fine line between being really good and really bad, and let's just say it wasn't really good. There were just too many parts where nothing happened. At first I thought that was the director's plan -- you were supposed to be lulled into a sense of security and then really scary things would start happening. But...no.<br /><br />I kept trying to find good things to say about it (and I had plenty of time to think), and I'll say the music was kinda cool. And I have to give the female lead credit for standing around by herself looking scared for a really, really long time. But that's it. The actors playing ""infected"" people looked as if they were making fun of zombie movies. Or they got their motivation from the Bug wearing his Edgar suit from ""MIB."" Chances are, if for some strange reason you're going to watch this movie, it's on DVD or Tivo, so you can fast forward it whenever waiting for something to happen gets too difficult.<br /><br />I hate to be so critical of something, but at the same time I've watched a lot of similar movies and nothing has ever been this painful. If they just chopped a half an hour out of it and added some scary stuff, it might be decent. Maybe that'll be the director's cut...",Negative,Negative,negative
6027,"Here is a fantastic concept for a film - a series of meteors crash into a small town and the resulting alien infection is caught on a deputy's single camera dash cam as the town slowly taken over. Leave it to Albert Pyun to screw that up! Don't get within 100 feet of this flick! Holy crap, what a bomb...it might be Pyun's worst yet! The crazy thing is there is the germ of a creative idea in here - an entire of an outbreak told from the POV of a dashcam. When I heard that a while back, I imagined the car smashing into stuff, people getting run over, and infected types breaking the windshield and surrounding the car in chaos. That would be cool right? Instead, we have the lead driving around in circles for the entire time in a wooded area, occasionally running into the three infected types who just stand there. The last bit is literally a 15 minute shot where nothing happens in front of the camera, just noises are heard offscreen. Stay away!!! On a somewhat relieving note, I think I am officially calling an end to my Pyun watching...only took me 20 crappy movies to realize I have better things to do.",Negative,Negative,negative
6028,"Jesus Christ, what the hell happened here?. This is one of the most boring movies I have ever seen, how is it possible that they screwed up such a nice idea for a movie. To tell you the truth I was so hyped for this, I though it was like Blair Witch but with actual alien creatures chasing the camera guy. Goddamn it, I have been reduced to fast forwarding this pile of sh*t, and I never do that while seeing movies. The high rating here on IMDb makes me believe that actual aliens are giving 10's for this piece of crap.<br /><br />Invasion is about well, an invasion. The movie starts by saying that everything you're about to see is real, blahblahblah. Then they go and tell me about a special camera system used in cars, as if I need to believe their bullsh*t to enjoy this movie. Next thing you know I'm seeing the most boring car driving ever filmed, in a forest at night mind you. Is this a movie, or a Disney theme park ride? The first 20 minutes is all boring dialog between cops while seeing grass and one straight road with a flashlight. Where the hell were the aliens?! They were sleeping of course! Then we learn that bad acting is not only reduced to high school plays, as the cop behind the camera goes out of his car to look for a missing man who was 'nightfishing' and had stumbled upon a mysterious meteorite. I wonder what happens to him? Out of nowhere, we see the 'nightfishing' guy walking like a zombie. The cop is apparently too dumb to notice that something is wrong with this man. Apparently he was indeed dumb, as the zombie/alien guy injects in the cop's ear some sort of alien parasite, thus changing him into an alien. Then the cop/alien goes back into his car, looks for a young couple that were having sex a while back in the forest, gets to them, changes the guy into an alien, and then the girl runs to the cop's car and escapes. If this quick plot introduction didn't get it in your head that this movie was bad, then the following 40 minutes will. Watching this movie is as painful as stabbing yourself repeatedly with a plastic fork. The script, while it may sound interesting on the back of the DVD box, is badly directed and sadly, we are left with another boring straight to DVD atrocity.<br /><br />The only thing that kept me awake were the constant flashing and loud sound effects (lamentably). If seeing the same forest trail for 63 minutes is not enough, we must endure crappy flashing techniques to ""scare"" the viewer and constant wailing of a bad actress that gets old and annoying pretty quick.<br /><br />If you feel you must rent this, I say to you, why? There are better SciFi/Horror films out there. Even the dreaded remake of the Invasion of the Body Snatchers is more entertaining than this. For the love of all things good, don't bother with his crap. My eyes bled, and for the first time, I wanted suicide. A 1/10, avoid this like a disease.",Negative,Negative,negative
